,accession_number,year,r,g,b
698,D00712,1793,230,222,200
699,D00715,1798,201,192,165
700,D00717,1798,127,120,95
701,D00719,1796,204,190,164
702,D00720,1796,196,179,157
703,D00721,1796,163,146,125
704,D00722,1796,220,210,188
705,D00723,1793,236,224,205
706,D00724,1798,213,212,193
707,D00725,1798,76,64,42
708,D00726,1795,202,193,169
709,D00729,1795,69,54,38
710,D00828,1796,143,161,160
711,D00838,1796,169,124,96
712,D00843,1798,195,194,181
713,D00844,1797,177,168,143
714,D00845,,165,156,137
715,D00846,,202,190,164
716,D00847,1796,193,176,145
717,D00848,1797,187,174,150
718,D00849,1797,171,160,136
719,D00850,,173,160,134
720,D00851,1797,207,199,182
721,D00852,1797,177,169,148
722,D00853,1797,183,170,145
723,D00854,1797,216,211,196
724,D00855,1796,191,176,146
725,D00856,1795,52,45,34
726,D00857,1797,208,198,180
727,D00858,1796,205,192,169
728,D00859,,138,121,94
729,D00860,1796,178,165,140
730,D00861,1794,140,130,108
731,D00862,1795,182,168,147
732,D00863,,185,177,153
733,D00864,1798,210,202,185
734,D00865,1796,179,163,138
735,D00866,,178,166,137
736,D00867,,133,113,88
737,D00868,1795,187,168,135
