,accession_number,year,r,g,b
773,D01089,1797,196,180,149
774,D01097,1797,170,159,140
775,D01101,1798,63,49,33
776,D01102,1797,195,185,157
777,D01103,1797,194,177,146
778,D01106,1797,89,80,57
779,D01112,1797,208,192,166
780,D01113,1797,166,153,134
781,D01114,1797,178,157,125
782,D01115,1799,168,156,133
783,D01116,1799,73,63,46
784,D01117,1797,94,68,43
785,D01118,1796,128,105,85
786,D01119,1796,100,82,67
787,D01120,1796,107,82,65
788,D01121,1796,112,85,67
789,D01122,1796,70,58,49
790,D01123,1796,66,54,45
791,D01124,1796,62,50,42
792,D01125,1796,96,75,59
793,D01126,1796,152,123,104
794,D01127,1796,58,47,40
795,D01128,1796,149,124,106
796,D01129,1796,145,116,98
797,D01130,1796,159,131,113
798,D01131,1796,129,102,84
799,D01132,1796,151,123,103
800,D01133,1796,145,117,99
801,D01134,1796,157,125,105
802,D01136,1796,104,83,70
803,D01138,1796,89,69,58
804,D01139,1796,64,61,52
805,D01140,1796,66,59,50
806,D01141,1796,63,53,44
807,D01142,1796,60,51,42
808,D01143,1796,95,69,54
809,D01144,1796,67,55,46
810,D01145,1796,108,89,76
811,D01146,1796,122,98,84
812,D01147,1796,67,55,45
813,D01148,1796,67,53,46
814,D01149,1796,112,88,73
815,D01150,1796,121,98,82
816,D01151,1796,57,46,39
817,D01152,1796,66,55,47
818,D01153,1796,115,91,74
819,D01154,1796,128,107,90
820,D01155,1796,138,117,102
821,D01156,1796,154,125,109
822,D01157,1796,145,114,95
823,D01158,1796,162,129,109
824,D01159,1796,137,104,86
825,D01160,1796,166,139,120
826,D01161,1796,146,120,102
827,D01162,1796,168,134,113
828,D01163,1796,140,116,100
829,D01164,1796,160,133,115
830,D01165,1796,94,73,58
831,D01166,1796,96,78,64
832,D01167,1796,145,117,100
833,D01168,1796,167,139,120
834,D01169,1796,101,79,64
835,D01170,1796,73,60,51
836,D01171,1796,116,97,81
837,D01172,1796,136,110,93
838,D01173,1796,66,57,47
839,D01174,1796,67,60,52
840,D01178,1796,162,135,118
841,D01179,1796,63,50,40
842,D01180,1796,95,78,65
843,D01181,1796,124,104,91
844,D01182,1796,164,133,114
845,D01183,1796,111,90,77
846,D01184,1796,138,120,106
847,D01185,1796,121,100,85
848,D01186,1796,147,125,107
849,D01187,1796,144,114,97
850,D01188,1796,164,130,111
851,D01189,1796,145,112,94
852,D01190,1796,169,133,113
853,D01191,1796,106,83,68
854,D01192,1796,115,93,75
855,D01193,1796,145,113,95
856,D01195,1796,136,113,97
857,D01196,1796,123,103,87
858,D01197,1796,106,88,72
859,D01198,1796,142,122,105
860,D01199,1796,135,109,93
861,D01200,1796,160,137,120
862,D01201,1796,92,71,53
863,D01202,1796,79,66,53
864,D01203,1796,127,103,86
865,D01204,1796,144,114,96
866,D01205,1796,152,124,105
867,D01206,1796,171,138,119
868,D01207,1796,127,100,76
869,D01208,1796,122,99,79
870,D01209,1796,115,96,71
871,D01210,1796,64,58,48
872,D01211,1797,119,97,83
873,D01212,1797,126,109,94
874,D01213,1796,145,120,103
875,D01214,1796,170,141,122
876,D01215,1796,92,71,50
877,D01216,1796,138,118,98
878,D01217,1796,98,86,68
879,D01218,1796,62,54,45
880,D01219,1796,45,37,32
881,D01220,1796,59,51,46
882,D01221,1796,99,83,72
883,D01222,1796,144,121,103
884,D01223,1796,118,96,82
885,D01224,1796,136,110,91
886,D01225,1796,104,87,75
887,D01226,1796,131,109,90
888,D01227,1796,53,47,41
889,D01228,1796,100,87,70
890,D01229,1796,132,108,92
891,D01230,1796,168,137,118
892,D01231,1796,105,89,76
893,D01233,1796,104,84,71
894,D01234,1796,127,103,87
895,D01235,1796,108,91,79
896,D01236,1796,136,114,97
897,D01237,1796,112,82,62
898,D01239,1796,133,106,92
899,D01241,1796,119,99,86
900,D01242,1796,158,126,106
901,D01243,1796,135,111,92
902,D01244,1797,160,131,109
903,D01245,1796,138,111,93
904,D01246,1796,157,123,101
905,D01337,1798,197,182,150
906,D01346,1798,189,176,143
907,D01607,1798,17,16,14
908,D01608,1798,24,24,21
909,D01627,1798,62,54,40
910,D01628,1798,60,52,38
911,D01648,1798,216,209,186
912,D01653,1798,229,221,204
913,D01656,1798,225,216,196
914,D01657,1798,203,197,179
915,D01658,1798,233,225,207
916,D01659,1798,232,225,210
917,D01660,1798,241,234,216
918,D01661,1798,234,227,211
919,D01668,1798,230,218,195
920,D01669,1798,213,197,166
921,D01670,1798,230,218,193
922,D01671,1798,230,205,163
923,D01672,1798,224,217,199
924,D01673,1798,219,202,159
925,D01674,1798,200,184,155
926,D01675,1798,173,141,100
927,D01862,1798,165,153,152
928,D01873,1798,111,93,79
929,D01878,1795,134,112,83
930,D01879,1797,235,229,210
931,D01880,1799,179,174,158
932,D01882,1798,197,181,153
933,D01883,1798,134,111,81
934,D01891,1798,133,124,102
935,D01892,1798,190,176,146
936,D01894,1798,228,217,195
937,D01900,1798,134,127,105
938,D01901,1798,189,180,150
939,D01902,1798,190,162,127
940,D01903,1798,191,163,120
941,D01904,1798,213,199,175
942,D01905,1798,186,179,147
943,D01906,1798,165,146,106
944,D01907,1798,188,182,157
945,D01908,1798,206,199,176
946,D01909,1798,187,179,155
947,D01910,1796,141,128,99
948,D01911,1798,208,198,169
949,D01920,1799,67,60,49
950,D02187,1799,195,189,168
951,D02188,1799,183,172,144
952,D02223,1799,73,57,34
953,D02224,1799,71,55,40
954,D02238,1799,207,199,177
955,D02240,1799,143,128,103
956,D02241,1799,165,157,140
957,D02342,1798,92,73,51
958,D02343,1797,173,146,110
959,D02344,1797,196,178,147
960,D02345,1796,232,227,210
961,D02346,1798,233,228,210
962,D02347,1798,218,211,195
963,D02348,1798,88,71,48
964,D02350,1798,118,100,72
965,D02352,1798,120,120,98
966,D02353,1799,175,166,144
967,D02354,1798,201,196,177
968,D02357,1800,174,161,131
969,D02374,1796,196,180,149
970,D02375,1794,76,69,51
971,D02377,1798,211,199,174
972,D02378,1798,159,149,129
973,D02383,1799,199,189,164
974,D02391,1797,224,218,203
975,D02474,1801,205,194,170
976,D03382,1801,159,139,111
977,D03383,1801,175,148,115
978,D03384,1801,159,137,107
979,D03386,1801,155,131,100
980,D03387,1801,173,149,116
981,D03389,1801,178,159,131
982,D03405,1801,179,155,123
983,D03408,1801,152,134,106
984,D03413,1801,161,145,121
985,D03414,1801,160,138,111
986,D03415,1801,155,137,110
987,D03420,1801,154,132,104
988,D03421,1801,158,138,109
989,D03422,1798,140,125,100
990,D03423,1801,162,147,121
991,D03424,1801,158,136,106
992,D03425,1801,154,130,98
993,D03426,1801,170,143,108
994,D03429,1801,147,125,97
995,D03431,1801,135,114,85
996,D03435,1801,159,134,102
997,D03436,1801,188,166,132
998,D03632,1801,163,149,114
999,D03633,1801,190,174,138
1000,D03634,1801,204,191,162
1001,D03635,1801,181,158,122
1002,D03636,1801,206,193,162
1003,D03637,1801,175,156,113
1004,D03638,1801,123,104,73
1005,D03639,1804,178,141,88
1006,D03640,1801,87,88,70
1007,D03641,1801,186,173,140
1008,D03642,1799,72,61,45
1009,D03643,1799,199,184,160
1010,D03644,1799,193,178,155
1011,D03647,1799,190,173,148
1012,D03648,1799,200,183,156
1013,D03649,1799,209,192,166
1014,D03650,1799,219,211,196
1015,D03651,1799,188,176,158
1016,D03652,1799,182,161,133
1017,D04152,1740,118,122,109
1018,D04155,1800,226,211,183
1019,D04158,1811,65,46,25
1020,D04159,1800,192,165,119
1021,D04160,1805,175,151,112
1022,D04161,1800,218,206,177
1023,D04162,1805,121,105,69
1024,D04163,1805,80,65,41
1025,D04164,1800,87,73,52
1026,D04165,1799,106,92,67
1027,D04166,1798,172,174,160
1028,D04167,1799,66,54,35
1029,D04168,1799,80,74,56
1030,D04169,1800,202,192,171
1031,D04172,1799,60,49,36
1032,D04174,1798,189,185,169
1033,D04175,1799,186,170,141
1034,D04176,1799,161,143,111
1035,D04177,1799,103,83,63
1036,D04178,1799,202,186,159
1037,D04179,1801,125,107,81
1038,D04180,1799,173,164,139
1039,D04181,1799,165,153,123
1040,D04182,1799,197,185,166
1041,D04183,1800,170,140,88
1042,D04185,1799,207,189,159
1043,D04186,1799,140,134,109
1044,D04187,1798,221,214,196
1045,D04397,1802,39,40,37
1046,D04427,1802,48,50,45
1047,D04460,1802,44,46,43
1048,D04495,1802,152,130,104
1049,D04496,1802,165,141,114
1050,D04497,1802,122,106,86
1051,D04500,1802,124,103,81
1052,D04501,1802,120,99,77
1053,D04502,1802,128,107,85
1054,D04513,1802,158,133,105
1055,D04525,1802,106,89,67
1056,D04526,1802,106,90,70
1057,D04527,1802,118,103,84
1058,D04599,1802,144,137,118
1059,D04601,1802,166,160,142
1060,D04603,1802,141,136,119
1061,D04607,1802,126,119,100
1062,D04608,1802,112,104,85
1063,D04610,1802,69,54,37
1064,D04613,1802,76,72,58
1065,D04614,1802,115,114,100
1066,D04615,1802,121,120,108
1067,D04616,1802,84,72,54
1068,D04618,1802,181,173,152
1069,D04622,1802,143,136,119
1070,D04625,1802,80,73,57
1071,D04626,1802,100,92,75
1072,D04627,1802,71,65,50
1073,D04639,1802,160,148,124
1074,D04640,1802,139,133,116
1075,D04648,1802,150,141,121
1076,D04798,1802,128,116,104
1077,D04799,1802,210,201,187
1078,D04800,1802,214,206,192
1079,D04801,1802,34,34,34
1080,D04802,1802,228,220,209
1081,D04803,1802,229,222,210
1082,D04804,1802,232,226,214
1083,D04805,1802,232,225,214
1084,D04807,1802,231,225,213
1085,D04809,1802,231,224,211
1086,D04810,1802,230,223,211
1087,D04811,1802,229,223,212
1088,D04812,1802,34,34,32
1089,D04814,1802,216,205,185
1090,D04816,1802,220,208,191
1091,D04875,1802,172,166,149
1092,D04876,1802,164,152,137
1093,D04877,1802,160,153,135
1094,D04878,1802,170,166,153
1095,D04879,1802,152,139,121
1096,D04882,1802,122,115,96
1097,D04883,1802,172,164,151
1098,D04886,1802,154,142,127
1099,D04887,1802,162,140,108
1100,D04895,1803,216,209,185
1101,D04896,1809,170,159,124
1102,D04897,1814,92,81,56
1103,D04898,1806,72,77,67
1104,D04899,1803,204,194,167
1105,D04900,1815,81,63,42
1106,D04901,1817,185,183,160
1107,D05356,1807,227,219,200
1108,D05358,1807,228,218,197
1109,D05361,1810,38,36,35
1110,D05840,1805,67,56,41
1111,D05916,1805,142,136,112
1112,D05917,1805,194,186,162
1113,D05936,1805,239,235,221
1114,D05937,1805,193,177,147
1115,D05946,1805,183,169,138
1116,D05947,1805,241,235,218
1117,D05948,1805,240,234,217
1118,D05949,1805,204,194,165
1119,D05950,1805,114,102,74
1120,D05951,1805,215,206,184
1121,D05952,1805,104,93,70
1122,D05953,1805,142,130,100
1123,D05954,1801,53,29,19
1124,D05955,1801,99,79,50
1125,D05956,1801,49,33,23
1126,D05957,1801,85,65,43
1127,D05958,1801,103,86,64
1128,D05959,1801,132,90,48
1129,D06851,1808,174,139,101
1130,D06852,1808,199,178,141
1131,D08084,1807,191,169,139
1132,D08085,1807,227,205,176
1133,D08086,1807,218,201,174
1134,D08087,1807,224,214,189
1135,D08089,1807,203,190,166
1136,D08090,1807,142,122,98
1137,D08091,1807,232,217,193
1138,D08098,1807,209,198,169
1139,D08099,1807,198,181,149
1140,D08100,1817,205,177,137
1141,D08101,1807,198,173,138
1142,D08102,1806,184,158,125
1143,D08103,1806,110,78,54
1144,D08104,1806,226,210,185
1145,D08105,1806,178,141,100
1146,D08106,1806,81,55,36
1147,D08108,1824,172,144,111
1148,D08109,1824,204,184,158
1149,D08110,1806,177,143,101
1150,D08111,1806,195,172,144
1151,D08112,1806,198,179,145
1152,D08113,1806,108,89,67
1153,D08114,1806,79,58,40
1154,D08115,1806,78,55,36
1155,D08116,1806,97,69,46
1156,D08117,1806,147,102,69
1157,D08118,1806,183,151,118
1158,D08119,1806,139,107,76
1159,D08120,1806,160,132,101
1160,D08121,1806,74,52,36
1161,D08122,1806,165,120,81
1162,D08123,1806,121,77,49
1163,D08125,1806,174,137,96
1164,D08126,1806,139,101,68
1165,D08127,1808,150,100,63
1166,D08128,1808,180,144,108
1167,D08129,1806,183,159,126
1168,D08130,1808,134,104,72
1169,D08131,1808,199,173,138
1170,D08132,1806,203,180,144
1171,D08133,1808,186,145,107
1172,D08134,1808,74,54,38
1173,D08135,1808,179,155,120
1174,D08136,1808,169,129,88
1175,D08137,1808,60,34,19
1176,D08138,1808,184,139,99
1177,D08139,1807,133,90,55
1178,D08140,1808,179,144,105
1179,D08141,1808,174,144,116
1180,D08142,1806,81,54,35
1181,D08144,1808,135,86,53
1182,D08145,1807,166,130,93
1183,D08146,1806,210,191,155
1184,D08147,1806,195,167,133
1185,D08148,1808,133,85,50
1186,D08149,1807,44,26,16
1187,D08150,1810,66,46,30
1188,D08151,1808,113,70,42
1189,D08152,1806,188,156,115
1190,D08153,1808,178,144,100
1191,D08154,1806,133,101,68
1192,D08155,1808,118,82,52
1193,D08156,1812,132,86,55
1194,D08157,1806,78,57,37
1195,D08158,1806,202,175,141
1196,D08159,1812,198,171,135
1197,D08160,1806,187,160,125
1198,D08161,1812,160,121,85
1199,D08162,1806,128,87,60
1200,D08163,1810,216,197,168
1201,D08164,1812,183,164,139
1202,D08165,1808,207,176,137
1203,D08166,1817,75,48,30
1204,D08167,1807,81,54,34
1205,D08168,1810,214,188,155
1206,D08169,1808,183,152,117
1207,D08170,1810,170,125,86
1208,D08171,1818,211,183,147
1209,D08172,1816,128,96,65
1210,D08173,1816,186,149,109
1211,D08174,1818,221,205,178
1212,D08175,1824,178,163,134
1213,D08176,1818,141,96,60
1214,D08177,1810,183,147,110
1215,D08178,1815,176,142,105
1216,D08179,1810,205,178,140
1217,D08181,1807,206,187,157
1218,D08182,1807,187,157,116
1219,D08183,1807,210,187,153
1220,D08184,1807,121,81,53
1221,D08185,1807,199,168,135
1222,D08186,1813,214,188,153
1223,D08187,1815,210,183,146
1224,D08204,,213,201,175
1225,D08205,1802,147,126,99
1226,D08207,1802,89,83,72
1227,D08212,1802,161,138,108
1228,D08221,1802,202,187,158
1229,D08222,1824,186,166,140
1230,D08225,1802,190,173,150
1231,D08231,1809,228,206,170
1232,D08234,1802,191,185,170
1233,D08238,1804,203,192,172
1234,D08240,1802,148,136,117
1235,D08245,1802,159,152,137
1236,D08250,1802,167,155,134
1237,D08256,1808,117,80,49
1238,D08257,1808,123,81,49
1239,D08258,1802,207,188,155
1240,D08259,1802,182,169,142
1241,D08260,1802,189,170,132
1242,D08261,1812,151,148,132
1243,D08262,1799,180,171,148
1244,D08263,1800,65,65,60
1245,D08264,1800,180,177,162
1246,D08265,1811,152,141,108
1247,D08266,1806,114,89,62
1248,D08268,1806,139,121,82
1249,D08269,1802,206,183,147
1250,D08270,1802,183,168,136
1251,D08271,,82,74,62
1252,D08273,1815,182,176,154
1253,D08274,1807,213,202,172
1254,D08275,1805,204,189,159
1255,D08276,1802,211,197,167
1256,D08277,1798,209,195,162
1257,D08279,1802,208,197,168
1258,D08280,1802,206,196,167
1259,D08281,1802,206,191,160
1260,D08282,1802,217,212,192
1261,D08814,1811,20,18,17
1262,D08815,1811,20,18,16
1263,D08905,1811,224,216,203
1264,D09052,1816,175,160,122
1265,D10256,1813,181,178,161
1266,D10257,1813,184,175,161
1267,D12114,1808,121,102,77
1268,D12122,1822,211,198,172
1269,D12257,1809,202,193,168
1270,D12260,1809,204,200,176
1271,D12450,1816,22,22,21
1272,D12451,1816,24,25,23
1273,D12452,1816,23,24,23
1274,D12453,1816,24,25,23
1275,D12454,1816,25,25,23
1276,D12455,1816,25,25,24
1277,D12456,1816,23,24,23
1278,D12457,1816,25,26,24
1279,D12458,1816,225,217,197
1280,D12459,1816,23,23,22
1281,D12460,1816,24,24,23
1282,D12461,1816,24,24,23
1283,D12462,1816,24,24,23
1284,D12463,1816,23,23,23
1285,D12464,1816,23,23,22
1286,D12465,1816,23,23,23
1287,D12466,1816,24,24,23
1288,D12467,1816,22,23,23
1289,D12468,1816,22,22,21
1290,D12469,1816,23,22,21
1291,D12470,1816,22,22,21
1292,D12471,1816,23,23,22
1293,D12472,1816,194,192,177
1294,D12473,1816,22,23,22
1295,D12474,1816,23,23,22
1296,D12475,1816,23,22,22
1297,D12476,1816,21,21,21
1298,D12477,1816,23,23,22
1299,D12478,1816,23,23,22
1300,D12479,1816,206,202,187
1301,D12480,1816,193,191,176
1302,D12481,1816,201,194,178
1303,D12482,1816,23,23,22
1304,D12483,1816,24,24,22
1305,D12484,1816,23,23,22
1306,D12485,1816,25,25,24
1307,D12486,1816,24,24,23
1308,D12487,1818,23,23,22
1309,D12488,1816,23,23,21
1310,D12489,1818,200,190,164
1311,D12490,1816,188,173,138
1312,D12491,1816,24,24,22
1313,D12492,1816,24,23,22
1314,D12493,1816,192,184,159
1315,D12494,1816,26,25,24
1316,D12495,1816,25,26,25
1317,D12496,1816,26,27,26
1318,D12497,1816,25,26,25
1319,D12498,1816,25,26,25
1320,D12499,1816,25,26,26
1321,D12500,1816,27,27,24
1322,D12501,1816,142,137,122
1323,D12502,1818,186,156,127
1324,D12503,1816,26,27,26
1325,D12504,1816,226,218,194
1326,D12505,1816,25,26,24
1327,D12506,1816,23,23,22
1328,D12507,1816,23,23,22
1329,D12508,1816,197,189,170
1330,D12509,1816,25,25,23
1331,D12510,1816,191,183,166
1332,D12511,1816,23,23,22
1333,D12512,1816,200,193,174
1334,D12513,1816,24,25,24
1335,D12514,1816,24,24,23
1336,D12515,1816,24,25,23
1337,D12516,1816,25,25,23
1338,D12517,1816,25,25,23
1339,D12518,1816,24,25,24
1340,D12519,1816,25,25,24
1341,D12520,1816,24,25,24
1342,D12521,1816,25,24,22
1343,D12522,1816,23,24,22
1344,D12523,1816,24,24,22
1345,D12524,1816,23,24,23
1346,D12525,1816,24,24,22
1347,D12526,1816,23,23,23
1348,D12527,1816,22,22,20
1349,D13748,1822,211,201,178
1350,D13750,1818,231,220,192
1351,D13818,1818,193,172,139
1352,D13826,1820,23,21,20
1353,D15251,1819,208,204,186
1354,D15252,1819,213,201,173
1355,D15253,1819,167,160,136
1356,D15254,1819,222,215,190
1357,D15255,1819,228,219,194
1358,D15256,1819,220,218,202
1359,D15258,1819,170,188,179
1360,D15262,1819,230,216,182
1361,D16089,1819,236,235,218
1362,D16093,1819,204,199,167
1363,D16101,1819,212,212,189
1364,D16106,1819,212,217,202
1365,D16109,1819,213,215,199
1366,D16116,1819,115,113,80
1367,D16120,1819,204,190,157
1368,D16122,1819,196,171,114
1369,D16123,1819,194,185,152
1370,D16129,1819,217,212,189
1371,D16130,1819,195,198,182
1372,D16131,1819,192,197,170
1373,D16133,1819,188,186,161
1374,D16327,1819,190,184,164
1375,D16329,1819,144,143,122
1376,D16331,1819,179,172,151
1377,D16332,1819,150,133,103
1378,D16336,1819,187,180,157
1379,D16337,1819,216,210,191
1380,D16338,1819,189,180,155
1381,D16339,1819,116,110,95
1382,D16341,1819,180,172,151
1383,D16342,1819,187,179,160
1384,D16343,1819,181,167,146
1385,D16344,1819,186,172,152
1386,D16345,1819,213,207,189
1387,D16346,1819,190,178,154
1388,D16347,1819,170,166,146
1389,D16348,1819,209,201,181
1390,D16350,1819,188,174,151
1391,D16351,1819,185,172,146
1392,D16352,1819,189,175,156
1393,D16353,1819,150,142,124
1394,D16354,1819,181,166,147
1395,D16355,1819,173,170,158
1396,D16356,1819,142,126,100
1397,D16363,1819,113,105,88
1398,D16364,1819,168,157,137
1399,D16365,1819,139,108,76
1400,D16366,1819,116,115,102
1401,D16367,1819,102,100,89
1402,D16368,1819,182,163,132
1403,D16369,1819,162,142,113
1404,D16372,1819,176,166,147
1405,D16375,1819,90,84,67
1406,D16376,1819,176,164,144
1407,D16381,1819,177,166,145
1408,D16395,1819,193,174,141
1409,D16396,1819,204,185,151
1410,D16397,1819,166,143,115
1411,D16398,1819,157,146,118
1412,D16399,1819,209,200,178
1413,D16400,1819,36,33,30
1414,D16401,1819,25,26,23
1415,D16402,1819,182,173,153
1416,D16404,1819,178,171,154
1417,D16405,1819,33,33,31
1418,D16406,1819,194,185,165
1419,D16408,1819,160,153,135
1420,D16410,1819,186,180,164
1421,D16412,1819,181,174,156
1422,D16414,1819,196,190,174
1423,D16416,1819,170,164,147
1424,D16417,1819,177,171,154
1425,D16418,1819,37,36,33
1426,D16419,1819,34,34,32
1427,D16420,1819,183,177,159
1428,D16421,1819,190,184,168
1429,D16422,1819,163,156,141
1430,D16423,1819,36,34,32
1431,D16424,1819,32,31,29
1432,D16426,1819,158,151,134
1433,D16428,1819,186,180,167
1434,D16430,1819,209,202,183
1435,D16431,1819,39,38,35
1436,D16432,1819,179,172,156
1437,D16434,1819,191,186,174
1438,D16436,1819,176,170,153
1439,D16437,1819,170,165,152
1440,D16438,1819,193,189,176
1441,D16440,1819,36,35,32
1442,D16441,1819,39,37,33
1443,D16442,1819,180,174,157
1444,D16444,1819,198,192,173
1445,D16446,1819,171,165,149
1446,D16447,1819,174,167,150
1447,D16448,1819,40,39,35
1448,D16449,1819,30,30,29
1449,D16450,1819,172,166,152
1450,D16451,1819,170,162,144
1451,D16453,1819,185,177,159
1452,D16454,1819,172,165,149
1453,D16455,1819,181,174,158
1454,D16456,1819,34,33,31
1455,D16457,1819,34,33,31
1456,D16458,1819,179,173,155
1457,D16459,1819,35,34,32
1458,D16461,1819,187,180,161
1459,D16462,1819,35,34,32
1460,D16463,1819,174,167,151
1461,D16464,1819,192,187,173
1462,D16465,1819,183,176,158
1463,D16466,1819,193,187,170
1464,D16467,1819,34,34,32
1465,D16468,1819,37,36,33
1466,D16469,1819,172,169,141
1467,D16470,1819,184,178,164
1468,D16471,1819,180,176,160
1469,D16472,1819,40,39,36
1470,D16473,1819,37,35,33
1471,D16474,1819,181,174,159
1472,D16475,1819,173,168,155
1473,D16476,1819,156,150,139
1474,D16477,1819,202,197,184
1475,D16478,1819,158,151,140
1476,D16479,1819,40,39,35
1477,D16480,1819,173,166,149
1478,D16481,1819,60,53,43
1479,D16482,1819,161,154,130
1480,D16483,1819,182,171,146
1481,D16484,1819,176,169,152
1482,D16485,1819,185,177,158
1483,D16970,1816,226,210,191
1484,D16971,1816,219,206,182
1485,D16972,1823,233,221,205
1486,D16973,1817,229,212,190
1487,D16974,1818,231,213,191
1488,D16975,1818,227,210,186
1489,D16976,1816,200,185,158
1490,D16977,1817,231,215,194
1491,D16978,1823,234,222,206
1492,D16979,1823,235,225,209
1493,D16980,1823,234,223,207
1494,D16981,1818,233,216,195
1495,D16982,1816,233,218,199
1496,D16983,1823,233,221,205
1497,D16984,1823,234,221,205
1498,D16985,1816,230,215,193
1499,D16986,1816,229,214,193
1500,D16987,1823,235,223,207
1501,D16988,1817,28,26,29
1502,D16989,1817,227,211,189
1503,D16991,1817,225,212,188
1504,D16992,1817,228,216,197
1505,D16993,1817,228,213,188
1506,D16994,1817,227,214,190
1507,D16995,1817,231,216,192
1508,D16996,1817,234,224,208
1509,D16997,1817,231,216,192
1510,D16998,1817,229,215,188
1511,D16999,1817,229,215,191
1512,D17000,1817,228,212,187
1513,D17001,1817,228,214,189
1514,D17002,1817,228,213,193
1515,D17003,1817,229,222,206
1516,D17004,1817,231,216,191
1517,D17005,1817,229,215,189
1518,D17006,1817,234,218,195
1519,D17007,1817,235,225,209
1520,D17008,1817,230,217,201
1521,D17010,1817,227,215,198
1522,D17011,1817,227,214,199
1523,D17012,1817,227,212,195
1524,D17013,1817,225,209,192
1525,D17014,1817,226,210,193
1526,D17015,1817,228,215,199
1527,D17016,1817,225,212,195
1528,D17017,1817,228,214,189
1529,D17018,1817,229,215,191
1530,D17019,1817,225,209,191
1531,D17020,1810,231,220,196
1532,D17021,1817,224,208,186
1533,D17022,1822,224,209,187
1534,D17023,1823,228,214,197
1535,D17024,1823,221,203,181
1536,D17025,1810,223,206,177
1537,D17026,1810,24,23,24
1538,D17027,1810,222,205,187
1539,D17028,1810,219,206,182
1540,D17029,1810,228,208,183
1541,D17031,1810,220,202,174
1542,D17032,1810,219,205,180
1543,D17033,1810,224,210,184
1544,D17034,1810,225,208,187
1545,D17039,1810,230,217,197
1546,D17040,1810,90,76,58
1547,D17041,1810,229,217,192
1548,D17042,1810,231,217,190
1549,D17043,1810,229,220,203
1550,D17044,1810,230,215,189
1551,D17045,1810,228,213,187
1552,D17046,1810,229,215,188
1553,D17047,1810,230,216,190
1554,D17048,1810,228,212,186
1555,D17049,1810,223,210,191
1556,D17050,1810,227,213,193
1557,D17052,1810,221,198,172
1558,D17053,1810,23,22,23
1559,D17054,1810,225,212,185
1560,D17055,1810,230,217,198
1561,D17056,1810,229,218,190
1562,D17057,1810,228,213,191
1563,D17058,1810,224,207,183
1564,D17062,1810,216,203,178
1565,D17063,1810,227,213,186
1566,D17064,1810,226,212,185
1567,D17065,1810,223,214,195
1568,D17066,1810,221,215,198
1569,D17067,1810,51,43,34
1570,D17068,1810,215,210,194
1571,D17069,1810,223,213,189
1572,D17070,1810,223,203,170
1573,D17072,1810,170,147,109
1574,D17073,1810,219,211,191
1575,D17074,1810,233,224,199
1576,D17075,1822,232,224,201
1577,D17078,1810,26,23,22
1578,D17079,1810,223,205,169
1579,D17080,1810,28,25,25
1580,D17083,1810,229,218,200
1581,D17084,1810,154,149,127
1582,D17085,1810,225,215,186
1583,D17086,1810,229,220,192
1584,D17087,1810,232,221,195
1585,D17088,1810,231,221,197
1586,D17089,1810,233,226,202
1587,D17090,1810,53,37,27
1588,D17092,1810,227,217,192
1589,D17093,1810,227,212,191
1590,D17094,1810,231,221,196
1591,D17095,1810,220,203,178
1592,D17096,1810,218,210,188
1593,D17097,1810,230,219,190
1594,D17098,1810,224,212,181
1595,D17099,1810,73,60,43
1596,D17100,1810,236,221,190
1597,D17101,1810,82,66,45
1598,D17103,1817,24,23,25
1599,D17104,1817,27,25,28
1600,D17105,1817,26,24,27
1601,D17106,1817,231,218,203
1602,D17107,1817,231,216,197
1603,D17108,1823,214,207,188
1604,D17109,1822,227,218,196
1605,D17110,1823,230,219,204
1606,D17111,1823,236,225,210
1607,D17112,1810,216,199,168
1608,D17113,1810,210,191,158
1609,D17114,1812,230,218,202
1610,D17116,1810,71,56,40
1611,D17120,1822,233,219,201
1612,D17121,1810,54,40,34
1613,D17122,1810,227,219,204
1614,D17123,1810,38,33,32
1615,D17124,1810,220,213,193
1616,D17131,1810,213,190,156
1617,D17133,1810,37,34,32
1618,D17134,1810,200,186,158
1619,D17135,1810,223,204,176
1620,D17136,1810,35,31,30
1621,D17137,1812,234,223,202
1622,D17138,1812,235,224,203
1623,D17139,1812,235,223,202
1624,D17140,1810,228,214,188
1625,D17142,1810,208,197,175
1626,D17145,1810,225,215,205
1627,D17146,1817,46,42,42
1628,D17149,1824,219,211,195
1629,D17150,1824,233,216,197
1630,D17163,1801,200,187,163
1631,D17165,1820,119,112,94
1632,D17166,1820,187,173,141
1633,D17167,1809,207,189,147
1634,D17168,1820,195,183,151
1635,D17169,1813,121,131,118
1636,D17170,1823,115,119,109
1637,D17171,1825,220,211,189
1638,D17172,1817,136,131,114
1639,D17173,1820,216,197,170
1640,D17174,1814,153,123,96
1641,D17175,1820,200,184,159
1642,D17176,1820,213,184,154
1643,D17177,1820,224,213,191
1644,D17178,1818,161,149,126
1645,D17179,1820,163,144,103
1646,D17180,1820,224,226,205
1647,D17181,1820,200,200,182
1648,D17182,1820,191,187,161
1649,D17183,1820,92,97,91
1650,D17184,1820,215,210,183
1651,D17185,1820,178,159,124
1652,D17186,1817,210,207,187
1653,D17187,1817,196,183,150
1654,D17188,1800,70,72,53
1655,D17189,1830,202,193,171
1656,D17190,1801,219,213,192
1657,D17191,1817,204,185,153
1658,D17192,1815,178,176,148
1659,D17193,1823,197,200,189
1660,D17194,1820,210,206,192
