,id,name,artwork_count,gender,artistId,thumbnailUrl
145,148,"De Wint, Peter",49,Male,148,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/cd44007b12d5cd42063f7118b1971070
146,149,"Dicksee, Sir Frank",2,Male,149,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/f4eef8d9ff991acc5594267d9a1b6e9e
147,150,"Dighton, William Edward",1,Male,150,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/0e3ac0484a49d9705b41b741e3761a4f
148,151,"Dixon, William",2,Male,151,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/2e13ba62d25cc7985c26b4e663116820
149,152,"Dobson, William Charles Thomas",1,Male,152,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/8e119c98cd20e18e9d04269e6741f6cf
150,153,"Dobson, William",3,Male,153,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/33714f1cbf295c83e088f7ffa190ff97
151,154,"Donaldson, Andrew Brown",1,Male,154,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/5327b11562ea744fd4386b4cf2903688
152,155,"Doughty, William",1,Male,155,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/24c3709f2a1c994a15e6a6918e009e2f
153,156,"Douglas, Edwin",1,Male,156,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/6e9c6219535d48dbfaa0e76eeb4b5d5a
154,157,"Douglas, Sir William Fettes",1,Male,157,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/07352f8ebb7d938b4343a4877235e4e1
155,158,"Downard, Ebenezer Newman",1,Male,158,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/5f19bfb3501052a62fab665049432fc1
156,159,"Downman, John",35,Male,159,https://public.opendatasoft.com/api/v2/catalog/datasets/the-tate-collection/files/9c466606a0c2b03a3ab3e3f55ecd11ee
